,idhod,hodnota,ukaz_kod,uzemi_cis,uzemi_kod,sldb_rok,ukaz_txt,uzemi_txt
49,964618007,4370,3162,101,40657,2021,Počet obyvatel s obvyklým pobytem,Havlíčkův Brod
50,964675829,5309,3162,101,40665,2021,Počet obyvatel s obvyklým pobytem,Jihlava
51,964619072,3397,3162,101,40673,2021,Počet obyvatel s obvyklým pobytem,Pelhřimov
52,964605190,5226,3162,101,40681,2021,Počet obyvatel s obvyklým pobytem,Třebíč
53,964689099,5806,3162,101,40690,2021,Počet obyvatel s obvyklým pobytem,Žďár nad Sázavou
54,964704011,4901,3162,101,40703,2021,Počet obyvatel s obvyklým pobytem,Blansko
55,964675973,16006,3162,101,40711,2021,Počet obyvatel s obvyklým pobytem,Brno-město
56,964604261,10755,3162,101,40720,2021,Počet obyvatel s obvyklým pobytem,Brno-venkov
57,964618276,5104,3162,101,40738,2021,Počet obyvatel s obvyklým pobytem,Břeclav
58,964661786,6838,3162,101,40746,2021,Počet obyvatel s obvyklým pobytem,Hodonín
59,964689535,4174,3162,101,40754,2021,Počet obyvatel s obvyklým pobytem,Vyškov
60,964633388,5467,3162,101,40762,2021,Počet obyvatel s obvyklým pobytem,Znojmo
61,964690099,1751,3162,101,40771,2021,Počet obyvatel s obvyklým pobytem,Jeseník
62,964604943,10841,3162,101,40789,2021,Počet obyvatel s obvyklým pobytem,Olomouc
63,964632981,5136,3162,101,40797,2021,Počet obyvatel s obvyklým pobytem,Prostějov
64,964690923,5946,3162,101,40801,2021,Počet obyvatel s obvyklým pobytem,Přerov
65,964675822,5524,3162,101,40819,2021,Počet obyvatel s obvyklým pobytem,Šumperk
66,964661355,4819,3162,101,40827,2021,Počet obyvatel s obvyklým pobytem,Kroměříž
67,964646978,6465,3162,101,40835,2021,Počet obyvatel s obvyklým pobytem,Uherské Hradiště
68,964661779,6599,3162,101,40843,2021,Počet obyvatel s obvyklým pobytem,Vsetín
69,964647072,8784,3162,101,40851,2021,Počet obyvatel s obvyklým pobytem,Zlín
70,964703450,4335,3162,101,40860,2021,Počet obyvatel s obvyklým pobytem,Bruntál
71,964704695,10124,3162,101,40878,2021,Počet obyvatel s obvyklým pobytem,Frýdek-Místek
72,964632862,11065,3162,101,40886,2021,Počet obyvatel s obvyklým pobytem,Karviná
73,964675956,7231,3162,101,40894,2021,Počet obyvatel s obvyklým pobytem,Nový Jičín
74,964661082,8492,3162,101,40908,2021,Počet obyvatel s obvyklým pobytem,Opava
75,964662483,14829,3162,101,40916,2021,Počet obyvatel s obvyklým pobytem,Ostrava-město
76,964964065,968,3162,72,1101,2021,Počet obyvatel s obvyklým pobytem,Praha 1
77,965294207,1721,3162,72,1102,2021,Počet obyvatel s obvyklým pobytem,Praha 2
